field.markers39.marker_name,field.markers39.subject_name,field.markers39.segment_name,field.markers39.translation.x,field.markers39.translation.y,field.markers39.translation.z,field.markers39.occluded,field.markers40.marker_name,field.markers40.subject_name,field.markers40.segment_name,field.markers40.translation.x,field.markers40.translation.y,field.markers40.translation.z,field.markers40.occluded,field.markers41.marker_name,field.markers41.subject_name,field.markers41.segment_name,field.markers41.translation.x,field.markers41.translation.y,field.markers41.translation.z,field.markers41.occluded,field.markers42.marker_name,field.markers42.subject_name,field.markers42.segment_name,field.markers42.translation.x,field.markers42.translation.y,field.markers42.translation.z,field.markers42.occluded
Bottle 1,Bottle,Bottle,1523.86193848,200.826263428,1384.11755371,0,Bottle 2,Bottle,Bottle,1450.08300781,143.260620117,1305.72790527,0,Bottle 3,Bottle,Bottle,1462.78344727,214.719894409,1280.5645752,0,Bottle 4,Bottle,Bottle,1512.45861816,175.48588562,1264.18664551,0
Bottle 1,Bottle,Bottle,1523.89355469,208.109298706,1391.3223877,0,Bottle 2,Bottle,Bottle,1450.66943359,151.78314209,1311.35900879,0,Bottle 3,Bottle,Bottle,1464.04382324,223.671310425,1287.24536133,0,Bottle 4,Bottle,Bottle,1514.11486816,184.272674561,1270.99230957,0
Bottle 1,Bottle,Bottle,1524.77087402,213.24987793,1395.3572998,0,Bottle 2,Bottle,Bottle,1451.34802246,158.648239136,1314.33703613,0,Bottle 3,Bottle,Bottle,1465.46960449,230.522491455,1291.15649414,0,Bottle 4,Bottle,Bottle,1515.07800293,191.183990479,1274.54321289,0
Bottle 1,Bottle,Bottle,1526.0760498,224.562988281,1399.63037109,0,Bottle 2,Bottle,Bottle,1452.56835938,171.440093994,1317.47094727,0,Bottle 3,Bottle,Bottle,1467.79052734,243.630874634,1295.26391602,0,Bottle 4,Bottle,Bottle,1517.2845459,203.531417847,1278.59631348,0
Bottle 1,Bottle,Bottle,1526.63659668,234.413238525,1401.97937012,0,Bottle 2,Bottle,Bottle,1453.1340332,182.940765381,1319.00708008,0,Bottle 3,Bottle,Bottle,1469.47351074,254.97895813,1297.3190918,0,Bottle 4,Bottle,Bottle,1518.50854492,214.405319214,1280.76062012,0
Bottle 1,Bottle,Bottle,1527.12158203,241.754501343,1403.54174805,0,Bottle 2,Bottle,Bottle,1453.3203125,191.639312744,1320.05041504,0,Bottle 3,Bottle,Bottle,1470.52685547,263.481262207,1298.74365234,0,Bottle 4,Bottle,Bottle,1519.21850586,222.546600342,1282.2487793,0
Bottle 1,Bottle,Bottle,1527.42749023,251.889526367,1405.85742188,0,Bottle 2,Bottle,Bottle,1453.28662109,203.423309326,1321.55981445,0,Bottle 3,Bottle,Bottle,1471.28466797,275.112701416,1300.8840332,0,Bottle 4,Bottle,Bottle,1519.77734375,233.79397583,1284.24267578,0
Bottle 1,Bottle,Bottle,1526.94873047,262.650512695,1408.07714844,0,Bottle 2,Bottle,Bottle,1452.70288086,215.613540649,1323.06359863,0,Bottle 3,Bottle,Bottle,1471.74804688,287.444335938,1302.98803711,0,Bottle 4,Bottle,Bottle,1519.73876953,245.414642334,1286.3605957,0
Bottle 1,Bottle,Bottle,1525.32263184,277.033538818,1411.0135498,0,Bottle 2,Bottle,Bottle,1451.15539551,231.43270874,1325.23815918,0,Bottle 3,Bottle,Bottle,1471.38244629,303.155761719,1305.82470703,0,Bottle 4,Bottle,Bottle,1518.84753418,260.59664917,1289.19372559,0
Bottle 1,Bottle,Bottle,1523.78369141,288.81060791,1413.54638672,0,Bottle 2,Bottle,Bottle,1449.41821289,244.962783813,1326.98535156,0,Bottle 3,Bottle,Bottle,1471.15270996,316.443878174,1307.99291992,0,Bottle 4,Bottle,Bottle,1517.60632324,273.194580078,1291.50354004,0
Bottle 1,Bottle,Bottle,1522.72644043,298.406341553,1415.49511719,0,Bottle 2,Bottle,Bottle,1448.25036621,255.457351685,1328.50671387,0,Bottle 3,Bottle,Bottle,1471.07983398,326.824829102,1309.81274414,0,Bottle 4,Bottle,Bottle,1517.10852051,282.929290771,1293.45239258,0
Bottle 1,Bottle,Bottle,1522.04760742,311.689147949,1418.41699219,0,Bottle 2,Bottle,Bottle,1446.87780762,269.794494629,1331.5802002,0,Bottle 3,Bottle,Bottle,1471.03613281,341.08895874,1312.58544922,0,Bottle 4,Bottle,Bottle,1516.33691406,295.874755859,1296.49060059,0
Bottle 1,Bottle,Bottle,1159.60742188,189.573303223,173.028213501,0,Bottle 2,Bottle,Bottle,1120.15368652,198.665176392,57.0993003845,0,Bottle 3,Bottle,Bottle,1194.99560547,213.78086853,59.7618904114,0,Bottle 4,Bottle,Bottle,1183.97094727,148.120559692,59.6756095886,0
Bottle 1,Bottle,Bottle,1159.6237793,189.546844482,173.034591675,0,Bottle 2,Bottle,Bottle,1120.18457031,198.630355835,57.0953598022,0,Bottle 3,Bottle,Bottle,1194.99853516,213.799240112,59.7845001221,0,Bottle 4,Bottle,Bottle,1183.94213867,148.105331421,59.6775779724,0
Bottle 1,Bottle,Bottle,1159.62268066,189.553588867,173.036071777,0,Bottle 2,Bottle,Bottle,1120.10388184,198.937774658,57.1031494141,0,Bottle 3,Bottle,Bottle,1194.9855957,213.860626221,59.7931442261,0,Bottle 4,Bottle,Bottle,1184.01257324,148.141906738,59.6386032104,0
Bottle 1,Bottle,Bottle,1159.64599609,189.554122925,173.034088135,0,Bottle 2,Bottle,Bottle,1120.19030762,198.615707397,57.0821723938,0,Bottle 3,Bottle,Bottle,1194.99377441,213.830108643,59.8354530334,0,Bottle 4,Bottle,Bottle,1183.98742676,148.130554199,59.6468009949,0
Bottle 1,Bottle,Bottle,1159.60351562,189.557067871,173.020782471,0,Bottle 2,Bottle,Bottle,1120.21569824,198.625473022,57.0986022949,0,Bottle 3,Bottle,Bottle,1195.02526855,213.783355713,59.7805328369,0,Bottle 4,Bottle,Bottle,1183.99304199,148.098526001,59.6663398743,0
Bottle 1,Bottle,Bottle,1159.61743164,189.539657593,173.01890564,0,Bottle 2,Bottle,Bottle,1120.2010498,198.648498535,57.1047782898,0,Bottle 3,Bottle,Bottle,1195.0098877,213.833023071,59.7994689941,0,Bottle 4,Bottle,Bottle,1183.97692871,148.102539062,59.7231216431,0
Bottle 1,Bottle,Bottle,1159.61535645,189.537445068,173.054595947,0,Bottle 2,Bottle,Bottle,1120.16552734,198.642425537,57.1056137085,0,Bottle 3,Bottle,Bottle,1195.00427246,213.597595215,59.5004081726,0,Bottle 4,Bottle,Bottle,1183.97155762,148.139083862,59.6404190063,0
Bottle 1,Bottle,Bottle,1159.6315918,189.554855347,173.012893677,0,Bottle 2,Bottle,Bottle,1120.16296387,198.652420044,57.1165809631,0,Bottle 3,Bottle,Bottle,1194.96228027,213.579742432,59.4795532227,0,Bottle 4,Bottle,Bottle,1184.24377441,148.24029541,59.6576461792,0
Bottle 1,Bottle,Bottle,1159.61938477,189.531951904,173.06237793,0,Bottle 2,Bottle,Bottle,1120.18981934,198.641159058,57.0878601074,0,Bottle 3,Bottle,Bottle,1194.9161377,213.495986938,59.4412612915,0,Bottle 4,Bottle,Bottle,1184.14208984,148.137664795,59.5113143921,0
Bottle 1,Bottle,Bottle,1159.625,189.536346436,173.036773682,0,Bottle 2,Bottle,Bottle,1120.1463623,198.657669067,57.1124343872,0,Bottle 3,Bottle,Bottle,1194.91918945,213.50177002,59.3713684082,0,Bottle 4,Bottle,Bottle,1184.21020508,148.141769409,59.4883079529,0
Bottle 1,Bottle,Bottle,1159.66662598,189.485626221,172.921188354,0,Bottle 2,Bottle,Bottle,1120.11120605,198.916824341,57.1088790894,0,Bottle 3,Bottle,Bottle,1194.96655273,213.45703125,59.3703079224,0,Bottle 4,Bottle,Bottle,1184.2076416,148.167404175,59.4273834229,0
Bottle 1,Bottle,Bottle,1159.69396973,189.46081543,172.920684814,0,Bottle 2,Bottle,Bottle,1120.17431641,198.632827759,57.1130447388,0,Bottle 3,Bottle,Bottle,1194.92089844,213.477523804,59.3906440735,0,Bottle 4,Bottle,Bottle,1184.23840332,148.113937378,59.4291419983,0
Bottle 1,Bottle,Bottle,1159.56896973,189.407989502,172.83555603,0,Bottle 2,Bottle,Bottle,1120.14526367,198.657318115,57.1379547119,0,Bottle 3,Bottle,Bottle,1194.9732666,213.479202271,59.3854675293,0,Bottle 4,Bottle,Bottle,1184.43481445,147.987747192,59.3476905823,0
Bottle 1,Bottle,Bottle,1159.89160156,189.368789673,172.804519653,0,Bottle 2,Bottle,Bottle,1120.20703125,198.651763916,57.0854377747,0,Bottle 3,Bottle,Bottle,1194.94445801,213.477905273,59.3952980042,0,Bottle 4,Bottle,Bottle,1184.43664551,147.998794556,59.3698806763,0
Bottle 1,Bottle,Bottle,1159.91186523,189.372360229,172.835769653,0,Bottle 2,Bottle,Bottle,1119.93164062,198.891677856,57.0652236938,0,Bottle 3,Bottle,Bottle,1194.94555664,213.478317261,59.4090576172,0,Bottle 4,Bottle,Bottle,1184.43395996,147.99432373,59.3243103027,0
Bottle 1,Bottle,Bottle,1159.91467285,189.36416626,172.857345581,0,Bottle 2,Bottle,Bottle,1120.55761719,198.450515747,56.8551902771,0,Bottle 3,Bottle,Bottle,1194.9119873,213.48878479,59.3978805542,0,Bottle 4,Bottle,Bottle,1184.4732666,147.954315186,59.3627433777,0
Bottle 1,Bottle,Bottle,1159.92285156,189.377639771,172.826705933,0,Bottle 2,Bottle,Bottle,1120.50769043,198.443969727,56.8699569702,0,Bottle 3,Bottle,Bottle,1194.91601562,213.481063843,59.3574829102,0,Bottle 4,Bottle,Bottle,1184.41943359,147.968429565,59.3888092041,0
Bottle 1,Bottle,Bottle,1159.80236816,189.422576904,172.860900879,0,Bottle 2,Bottle,Bottle,1120.55175781,198.416671753,56.8734283447,0,Bottle 3,Bottle,Bottle,1194.92480469,213.479934692,59.4020309448,0,Bottle 4,Bottle,Bottle,1184.33435059,148.068328857,59.4276008606,0
